index,reviewText,rating
5868,It was a good read but they way it ended kind of sucked. It would of been nice if it was longer!!,2
57,I did not like this book very much. I am not really into a bunch of short stories all in one book.,2
5336,The book was very good just not long enough. Love her books and have not read one I did not like.,4
9134,not much there as far as plot or characters... mild sex romance for a quick escape,3
6839,I just bought my kindle fire and this was the first book I purchased.It was a good read.I liked it.,5
11259,"The book had a good story, but it did'nt seem like it had a ending",3
7046,Cute yet exciting.Would of liked moreVicki took no time to seduce her new tenantI loved it totally.,4
292,Ok not really interesting to me but ok read a a Aa.  A. A done done done done done do,2
3040,"This was not worth the $0.99, it is a short story, it is very predictable and not good at all",1
6524,"Short, obviously belongs with another book in a series and unbelievable.  ""Our"" baby. What a crock!",1
1241,The art was no as amazing as everyone rated.the idea of the story is decievinhAnd plot is really bad,1
5812,I liked that the H stuck to his gun and was serious about getting back with his wife.  Worth it.,3
11573,so hated this book not my cup of tea amistake to get very nasty i do not talk alot nasty,1
5496,"True to my word, it was good to the end of the book.  Kept you guessing what would happen next.",5
2079,I wish it was more. It left me high and dry. I was yearning for more and a better ending.,2
3485,I enjoyed the book.  I liked the plot and Ialso liked the characters.  It was a good and easy read.,4
72,Did not cut it. Maybe I don't like the way Mr. Hewson writesNot enough to peak my interest. Sorry.,1
9982,A very unique approach to the idea of cooking and perfectly formatted for the Kindle.  It's great.,5
3240,I love it when I reread books Iread as a kid and as an adult I can appreciate it even more.,5
2861,This is a great book on the insight of  Life in the first generation of tanks of world war one.,4
1592,the story was short.  i did not like the hero or he heroine.  it was not worth the time or money.,1
736,Love it wonderful romance book thrilling to the very end one of the best books I have read ever ever,4
6108,I loved this book. Wished it hadn't be so short!  I plan to keep this one & read it again!,4
4341,this book wasnt very long but very good ! great book to spend a few hours on the couch with,4
3696,The story line was Ok.  I wish that it was longer.  Just as you got into the story the book ended.,3
3269,HEHEHE this book for me was crazy but in a good way intense. I loved it great read,4
7769,I had a few chuckles here and there in the book. Kind of does remind me of how dad's are everyday.,4
10522,I love the book. It left me wanting more. I was wishing the story was longer. But it was very good.,4
1794,"Love this author. I have read most of her books,  and once again, she doesn't disappoint!!!!",5
6716,This book was not bad! I like the storyline ! The sex was not that grate and was not much in it!,2
7372,This is part of a series I read and I loved the whole series I also have some on Kindle.,5
5676,Finally a Texas newspaper in Kindle format.Way to go Amazon !!,4
7737,TJ and Jon are very HOT in this book.  Christine finds love and pleasure she did not no exsited .,5
